Light,Temp_Air,Temp_Soil,Soil_Moisture_1,Soil_Moisture_2,Soil_Moisture_3
0.0,-0.03125,0.0,-0.5,1.0,0.0
1.0,-0.0625,0.0,1.5,0.0,-0.5
2.5,-0.03125,0.0,-1.0,0.0,0.5
0.0,-0.03125,0.0,0.0,0.5,0.5
0.0,-0.03125,0.0,0.5,-0.5,-1.5
1.0,-0.03125,0.0,1.5,0.0,1.0
-2.0,0.0,0.03125,-1.5,1.0,0.0
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.5,-0.5,-0.5
-1.0,0.0,0.03125,1.5,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.03125,-1.0,1.0,-2.0
-3.0,-0.03125,0.03125,1.5,-1.0,1.0
-1.0,0.0,-0.03125,-1.5,-0.5,-1.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,-0.03125,1.0,1.0,0.5
-3.0,-0.03125,0.03125,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-0.5
1.0,0.0,-0.03125,-1.0,-1.0,0.0
-2.5,0.0,0.03125,-0.5,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.03125,0.0,-1.0,-2.0
1.0,0.0,0.03125,0.0,-0.5,2.0
0.0,-0.03125,0.0,0.0,1.5,0.0
0.0,0.0,0.0,1.0,-0.5,-1.0
-1.5,0.4375,0.5,-25.0,5.0,3.5
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,1.5
2.0,-0.8874999999999993,1.5999999999999996,1.0,3.5,-1.5
-1.5,1.4812499999999993,-0.13124999999999964,3.5,1.0,0.5
0.5,0.15625,-1.46875,10.5,-2.5,4.5
2.0,-0.75,0.1374999999999993,-18.5,3.5,-5.5
1.5,0.46875,-0.1687499999999993,4.0,-5.0,1.5
-1.0,0.03125,0.71875,5.0,-0.5,0.0
-0.5,0.5,-0.5,-1.0,0.5,-1.0
2.5,-1.125,1.0,2.5,-1.0,0.5
-2.0,0.5,-1.1875,-6.0,2.0,0.5
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.5,-0.5,-0.5
-1.0,0.0,0.03125,1.5,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.03125,-1.0,1.0,-2.0
-3.0,-0.03125,0.03125,1.5,-1.0,1.0
-1.0,0.0,-0.03125,-1.5,-0.5,-1.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,-0.03125,1.0,1.0,0.5
-3.0,-0.03125,0.03125,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-0.5
1.0,0.0,-0.03125,-1.0,-1.0,0.0
-2.5,0.0,0.03125,-0.5,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.03125,0.0,-1.0,-2.0
1.0,0.0,0.03125,0.0,-0.5,2.0
0.0,-0.03125,0.0,0.0,1.5,0.0
0.0,0.0,0.0,1.0,-0.5,-1.0
-1.5,0.4375,0.5,-25.0,5.0,3.5
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,1.5
0.5,0.0,0.1875,0.0,1.5,-0.5
0.5,0.59375,-0.21875,0.5,-2.0,0.0
0.0,-0.03125,0.0,-0.5,1.0,0.0
1.0,-0.0625,0.0,1.5,0.0,-0.5
2.5,-0.03125,0.0,-1.0,0.0,0.5
0.0,-0.03125,0.0,0.0,0.5,0.5
0.0,-0.03125,0.0,0.5,-0.5,-1.5
1.0,-0.03125,0.0,1.5,0.0,1.0
-2.0,0.0,0.03125,-1.5,1.0,0.0
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.5,-0.5,-0.5
-1.0,0.0,0.03125,1.5,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.03125,-1.0,1.0,-2.0
-3.0,-0.03125,0.03125,1.5,-1.0,1.0
-1.0,0.0,-0.03125,-1.5,-0.5,-1.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,-0.03125,1.0,1.0,-0.5
-3.0,-0.03125,0.03125,0.0,0.5,1.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-1.0
1.0,0.0,-0.03125,-1.0,-1.0,0.5
-2.5,0.0,0.03125,-0.5,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.03125,0.0,-1.0,-2.0
1.0,0.0,0.03125,0.0,-0.5,2.0
0.0,-0.03125,1.0,1.5,1.5,0.0
0.0,0.0,-1.0,-0.5,-0.5,-0.5
-1.5,0.4375,0.5,-25.0,5.0,3.0
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.5,-1.5,-1.0,1.5
2.0,-0.5,1.0999999999999996,1.5,0.0,-0.5
-1.0,1.09375,-1.6312499999999996,-1.0,-0.5,-0.5
0.0,-0.03125,0.0,-0.5,0.0,0.5
1.0,-0.0625,0.0,-2.0,1.0,-0.5
2.5,-0.03125,0.0,2.5,0.0,0.5
0.0,-0.03125,0.0,0.0,0.5,0.5
0.0,-0.03125,0.0,0.5,-0.5,-1.5
1.0,-0.03125,0.0,1.5,0.0,1.0
-2.0,0.0,0.03125,-1.5,1.0,0.0
-0.5,-0.03125,-0.03125,-1.0,-0.5,0.5
-1.0,-0.03125,0.0,0.0,-0.5,-0.5
0.5,0.0,0.03125,2.0,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,0.6875,-1.0,1.0,-2.0
-3.0,-0.03125,-0.6875,1.5,-1.0,0.0
-1.0,0.0,-0.03125,-1.5,-0.5,-0.5
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.03125,-0.5,-0.5,-0.5
0.0,0.0,2.1875,1.0,1.0,0.5
-3.0,-0.03125,-2.1875,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-0.5
1.0,0.0,-0.03125,-1.0,-1.0,0.0
-2.5,0.0,0.03125,-0.5,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.03125,0.0,-1.0,-2.0
1.0,0.0,0.03125,0.0,-0.5,1.5
0.0,-0.03125,0.0,0.0,1.5,0.5
0.0,0.0,0.0,1.0,-0.5,-1.0
-1.5,0.4375,0.5,-25.0,5.0,3.5
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-2.0,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.0,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,1.5
2.0,-0.8874999999999993,1.5999999999999996,1.0,3.5,-1.5
-1.0,1.4812499999999993,-1.9124999999999996,-0.5,-4.0,1.5
0.0,-0.03125,0.0,-0.5,1.0,0.0
1.0,-0.0625,0.0,1.5,0.0,-1.0
2.5,-0.03125,0.0,-1.0,0.0,1.0
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,-0.03125,0.0,0.5,-0.5,-1.5
1.0,-0.03125,0.0,1.5,0.0,1.5
-2.0,0.0,0.3125,-1.5,1.0,0.0
-0.5,-0.03125,-0.3125,-1.0,-0.5,0.0
0.5,-0.03125,0.0,0.5,-0.5,0.0
-1.0,0.0,0.3125,1.5,0.5,0.0
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,-0.3125,-1.0,1.0,-2.0
-3.0,-0.03125,0.3125,1.5,-1.0,1.0
-1.0,0.0,-0.3125,-1.5,-0.5,-1.0
0.5,-0.03125,0.0,0.5,-0.5,0.0
-0.5,0.0,0.3125,-0.5,-0.5,-1.0
0.0,0.0,-0.3125,1.0,1.0,1.0
-3.0,-0.03125,0.3125,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,-0.03125,0.0,0.5,2.0,-1.0
1.0,0.0,-0.3125,-1.0,-1.0,0.0
-2.5,0.0,0.3125,-0.5,-0.5,1.0
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,-0.3125,0.0,-1.0,-2.5
1.0,0.0,0.3125,0.0,-0.5,2.5
0.0,-0.03125,0.0,0.0,1.5,0.0
0.0,0.0,0.0,1.0,-0.5,-1.5
-1.5,0.4375,0.5,-25.0,5.0,3.5
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,1.0
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,1.5
2.0,-0.8874999999999993,1.5999999999999996,1.0,3.5,-1.5
-0.5,1.4812499999999993,-0.41249999999999964,-1.0,-4.0,1.0
0.0,-0.03125,0.0,0.0,1.0,0.0
0.5,-0.0625,0.0,1.5,0.0,-0.5
2.5,-0.03125,0.0,-1.5,0.0,0.5
0.0,-0.03125,0.0,0.0,0.5,0.5
0.0,-0.03125,0.0,1.0,-0.5,-2.0
1.0,-0.03125,0.0,1.5,0.0,1.5
-2.0,0.0,-1.1875,-1.5,1.0,0.0
-0.5,-0.03125,1.1875,-1.0,-0.5,0.5
0.5,-0.03125,0.0,0.0,-0.5,-0.5
-1.0,0.0,-1.1875,2.0,0.5,0.5
0.0,-0.03125,0.0,-1.0,-0.5,0.5
0.0,0.0,0.0,0.5,1.5,1.5
-3.0,-0.03125,1.1875,-1.5,1.0,-2.0
-3.0,-0.03125,-1.1875,2.0,-1.0,1.0
-1.0,0.0,1.1875,-2.0,-0.5,-1.5
0.5,-0.03125,0.0,1.0,-0.5,0.0
-0.5,0.0,-1.1875,-1.0,-0.5,-0.5
0.0,0.0,1.1875,1.5,1.0,0.5
-3.0,-0.6875,-1.1875,0.0,0.5,0.0
0.5,0.0,0.0,0.0,-1.5,0.0
9.5,0.625,0.0,0.5,2.0,-0.5
1.0,0.0,1.1875,-1.0,-1.0,0.0
-2.0,0.0,-1.1875,-1.0,-0.5,0.5
0.0,-0.03125,0.0,0.0,0.5,0.0
0.0,0.0,1.1875,0.0,-1.0,-2.0
0.5,0.0,-1.1875,0.0,-0.5,2.0
0.0,-0.03125,0.0,0.0,1.5,0.0
0.0,0.0,0.0,1.5,-0.5,-1.5
-1.5,0.4375,0.5,-25.0,5.0,4.0
3.0,-0.5,-0.8000000000000007,25.0,-5.0,-4.5
-1.5,0.0625,0.9875000000000007,1.0,-1.5,0.5
-7.5,0.0,-0.6875,-1.0,1.5,0.0
5.5,-0.0625,0.0,-1.5,-1.0,2.0
2.0,-0.8874999999999993,1.5999999999999996,1.0,3.5,-2.0
